family,size,macs,n_params,flash_kb,threshold,n_seeds,recall_op,precision_op,precision_op_std,fpr_op,f1_op,roc_auc,pr_auc,pr_auc_std,recall_deploy,recall_deploy_std,precision_deploy,recall_05,precision_05,infer_us,feature_us,latency_ms,ram_kb,fits_flash,fits_ram,meets_latency,feasible,recall_holds
crnn,c16-32_h32,681664.0,11202,43.7578125,0.0756421834230423,5,0.9501100513573,0.14115223567111396,0.03757128891069224,0.758689117414397,0.22641839321619023,0.8462463997117365,0.5766837723530849,0.06230849776284882,0.9599413059427733,0.0346619266279992,0.11534647061360011,0.7079970652971387,0.40486679253199076,nan,0.0,nan,nan,True,True,,True,True
crnn,c16-32-32_h32,732864.0,16354,63.8828125,0.04869105666875839,5,0.9501100513573,0.15445382180585182,0.03186648884994453,0.6770256526161148,0.25832190499937663,0.8392882765187207,0.5469894629286491,0.07956891463868214,0.8852164343360235,0.06942995455688307,0.19395620080747114,0.5297138664710198,0.47554750535155604,nan,0.0,nan,nan,True,True,,True,False
lstm,h4,8008.0,122,0.4765625,0.10658790171146393,5,0.9501100513573,0.1377731666516707,0.017752288440032547,0.747655102271443,0.25092644173710854,0.8432121689183659,0.4922664307455823,0.10917781473648412,0.9670212765957447,0.026723174869889052,0.11822166840969271,0.7527512839325018,0.3807756541102245,3436.5,0.0,3.4365,5.34765625,True,True,True,True,True
lstm,h8,28816.0,370,1.4453125,0.12545599043369293,5,0.9501100513573,0.15156519259835047,0.006736046736058064,0.6569872301955023,0.26443412119046406,0.8322138546562623,0.4764840920765657,0.07321943896249111,0.9869772560528247,0.006717240924148672,0.12117839458501795,0.6426999266324285,0.3644684834616185,31130.1,0.0,31.1301,5.34765625,True,True,True,True,True
lstm,h16,108832.0,1250,4.8828125,0.07440437376499176,5,0.9501100513573,0.13774384329169145,0.012820543613296279,0.74037292349418,0.2329870013043674,0.8531075755644946,0.5589308387924752,0.055123507899783056,0.9888848129126926,0.0033149641518950626,0.11403174603174603,0.838958180484226,0.2878177699471432,15415.0,0.0,15.415,5.34765625,True,True,True,True,True
lstm,h24,240048.0,2642,10.3203125,0.13634392619132996,5,0.9501100513573,0.14828073293320593,0.007117614167337261,0.6743180020341282,0.259116602471112,0.8489329159725324,0.5756601529940047,0.03842647713257377,0.9800807043286868,0.00627989556038955,0.11716752267511747,0.6841526045487895,0.36547129139721735,81071.1,0.0,81.0711,5.34765625,True,True,True,True,True
lstm,h32,422464.0,4546,17.7578125,0.1564786285161972,5,0.9501100513573,0.14068543951046986,0.007400095278554533,0.717477681093909,0.2503564437785457,0.8318424276980368,0.5639306904284729,0.045217626922085724,0.9885179750550257,0.009678959697162445,0.11574473593372454,0.609501100513573,0.32221468050033936,58355.8,0.0,58.3558,5.34765625,True,True,True,True,True
lstm,h32x2,1241664.0,12994,50.7578125,0.19043466448783875,5,0.9501100513573,0.14526870839256864,0.005226515508519465,0.6899084642332467,0.2520926610862371,0.8449240360836789,0.5879026195682601,0.015607335307385008,0.9804475421863537,0.007628639995148572,0.11974496462848647,0.5630961115187088,0.42650736315643234,261585.3,0.0,261.58529999999996,5.34765625,True,True,False,False,True
rf,n10_d3,30.0,150,2.9296875,0.4449948319466057,5,0.9965517241379309,0.11044370628589954,0.0006940885010082091,0.9891061136851622,0.1985476640361602,0.8552995012016645,0.7416713800755261,0.01093636888905414,0.7786500366837859,0.021896072045659038,0.5653949035618753,0.7155172413793104,0.6284839697116159,39.1,937.4,0.9765,5.2421875,True,True,True,True,False
rf,n10_d5,50.0,612,11.953125,0.27178126448554696,5,0.9746881878209832,0.12705879550439156,0.0123013100403425,0.8345485365578031,0.22623477672530445,0.8486678549963614,0.7415711441092743,0.010810310978647526,0.7816214233308878,0.02207791025549601,0.3058303515049463,0.7575201760821717,0.5366424116424117,66.8,937.4,1.0042,5.34765625,True,True,True,True,False
rf,n20_d6,120.0,2170,42.3828125,0.32112492618250854,5,0.9637931034482758,0.12189221632166988,0.005132358045560581,0.8581444230986552,0.21878017042354028,0.844136793915889,0.748497095016839,0.010154218582624467,0.7748349229640498,0.015534879464611864,0.34676769305174915,0.7628393250183418,0.48433678816816117,264.0,937.4,1.2014,5.34765625,True,True,True,True,False
